Deer Brand商品ID,Deer Brand商品名,販売判定,Printful商品名,Printful型番,Printful URL,原価(USD),推奨販売価格(JPY),印刷方式,印刷エリア(フロント),印刷エリア(バック),印刷エリア(左胸),カラー数,サイズ展開,推奨解像度,総合評価,備考
hoodie,パーカー,条件付き推奨,Cotton Heritage Unisex Heavyweight Hoodie,M7580,https://www.printful.com/custom/mens/hoodies/unisex-premium-hoodie-cotton-heritage-m2580,$25.45,¥7980-9980,DTG,"12""x16"" (30.5x40.6cm)","12""x16"" (30.5x40.6cm)","4""x4"" (10.2x10.2cm)",15色,S/M/L/XL/2XL/3XL,300dpi 3600x4800px,★3.5,13ozヘビーウェイト。洗濯ケア案内必須
tshirt,Tシャツ,条件付き推奨,Bella+Canvas Unisex Staple T-Shirt,3001,https://www.printful.com/custom/mens/t-shirts/unisex-staple-t-shirt-bella-canvas-3001,$11.50,¥4980,DTG,"12""x16"" (30.5x40.6cm)","12""x16"" (30.5x40.6cm)","5""x5"" (12.7x12.7cm)",54色,XS-5XL,300dpi 3600x4800px,★3.5,リングスパンコットン。白系カラー推奨
tote,トートバッグ,★販売非推奨★,Econscious Eco Tote Bag,EC8000,https://www.printful.com/custom/bags/totes/eco-tote-bag-econscious-ec8000,$15.25,―,DTG,"11""x11"" (28x28cm)",―,―,3色,ワンサイズ,300dpi,★2,素材が薄く安っぽい。日本市場では通用しない。除外すべき
mug,マグカップ,条件付き推奨,White Glossy Mug,―,https://www.printful.com/custom/mugs/personalized/white-glossy-mug,$6.50,¥2480-2980,昇華転写,"ラップアラウンド 9""x3.5"" (22.9x8.9cm)",―,―,1色(白のみ),11oz/15oz/20oz,300dpi 2700x1050px,★3,帯状印刷(全面ではない)。手洗い推奨。破損対応ポリシー必須
case,スマホケース,条件付き推奨(Toughのみ),Tough Case for iPhone / Samsung,―,https://www.printful.com/custom/phone-cases/personalized/tough-iphone-case,$17.75,¥3480-4980,UVプリント,背面全面(機種別),―,―,グロス/マット,機種別,300dpi 機種別px,★3,Tough Caseのみ推奨。Clear/Snap非推奨。Google Pixel非対応
poster,アートポスター,★販売推奨★,Enhanced Matte Paper Framed Poster,―,https://www.printful.com/custom/wall-art/framed-posters/enhanced-matte-paper-framed-poster-in,$26.50-109.50,¥4480-15000,ジクレー,ポスター全面(フルブリード),―,―,フレーム黒/白,8x10~24x36(in),300dpi サイズ別,★4.5,Printful最高品質商品。ミュージアムクオリティ
postcard,ポストカードセット,条件付き推奨,Standard Postcard,―,https://www.printful.com/custom/stationery/postcards/standard-postcard,$1.75/枚,¥1980(5枚),オフセット,"4""x6"" (10.2x15.2cm) 全面",―,―,―,4x6(in),300dpi 1200x1800px,★3,同梱物・おまけ向き。単品販売はインパクト不足
emb-cap,刺繍キャップ,★販売推奨★,Classic Dad Hat Yupoong,6245CM,https://www.printful.com/custom/embroidered/dad-hats/classic-dad-cap-yupoong-6245cm,$15.75,¥4980,刺繍,"フロント 4""x2.25"" (10.2x5.7cm)",―,―,11色,フリーサイズ,―,★4,Printful人気No.1キャップ。シンプルデザイン推奨(7色以内)
emb-hoodie,刺繍パーカー,条件付き推奨,Cotton Heritage Premium Hoodie(刺繍),M7580,https://www.printful.com/custom/embroidered/hoodies/unisex-premium-hoodie-cotton-heritage-m2580,$28-32+$6.50初回,¥12980,刺繍,"左胸 4""x4"" (10.2x10.2cm)","ラージ 10""x6"" (25.4x15.2cm)",―,15色,S/M/L/XL/2XL/3XL,―,★3.5,左胸ワンポイント限定推奨。大面積刺繍は品質リスクあり
sticker,カッティングステッカー,条件付き推奨,Die-Cut Sticker,―,https://www.printful.com/custom/stickers/die-cut/die-cut-sticker,$3.78~,¥1480,UVインクジェット,"最大5.5""x5.5"" (14x14cm)",―,―,フルカラー,"2""/3""/4""/5.5""",300dpi,★3.5,耐候性ビニール。屋外は半年~1年で劣化。シンプル形状推奨
